puma,year,mergeid,estimate_black_females,estimate_total_pop,percent_black_only,percent_black_women,quantile_black_women,gini_index,percent_second_mortgage,percent_owner_occupied,percent_renter_occupied,percent_vacant_housing,homeowner_vacancy_rate,rental_vacancy_rate,percent_same_house_1_year,percent_no_plumbing,percent_no_kitchen,percent_overcrowding,avg_household_size,percent_owner_cost_burdent,rent_median_dollars,percent_renter_cost_burden,median_value_home,median_income,percent_below_poverty,percent_units_mortgage,percent_hispanic,percent_white_only,percent_american_indian,percent_asian,percent_hawaiian,percent_other_race,percent_twomore_races,disability_status,total_housing_units,num_renter_occupied,num_owner_occupied,num_total_occupied,percent_born_us,english_prof,percent_college,percent_uninsured,percent_unemployed
3604017,2011,3604017 _ 2011,921,171938,1.2,0.5356582023752751,1,0.4597,14.4,36.7,63.3,6.8,2.8,3.7,92.8,0.4,1.1,2.9,2.77,51.4,1065,48.0,635000,41906,13.0,48.1,12.5,57.1,0.4,36.1,0.1,4.3,0.9,13.265000000000038,66004,38930,22571,61501,45.8,48.1,20.8,13.656333333333329,4.6
3604018,2011,3604018 _ 2011,8447,104345,13.5,8.0952609133164,3,0.4991,17.1,27.8,72.2,6.8,5.1,3.3,91.8,0.7,0.8,2.6,2.31,36.2,852,44.0,444500,32988,16.6,47.8,14.5,67.2,0.4,12.6,0.0,4.6,1.8,18.090333333333366,47457,31954,12285,44239,45.8,46.1,29.6,11.693666666666687,5.2
3604101,2011,3604101 _ 2011,6790,168482,7.1,4.03010410607661,2,0.4497,16.9,20.3,79.7,7.8,1.6,2.8,88.7,0.5,0.9,2.7,2.32,49.0,1233,39.6,607500,49863,15.0,50.0,28.9,65.6,0.4,13.7,0.0,10.8,2.3,9.811333333333357,78573,57738,14720,72458,54.0,27.7,36.5,15.254333333333337,6.5
3604102,2011,3604102 _ 2011,6660,176985,6.9,3.76303076531909,2,0.4242,17.1,35.6,64.4,7.3,2.2,2.7,87.9,1.0,1.4,7.6,3.26,51.7,1237,50.5,449200,50045,15.6,61.1,63.7,42.5,0.5,18.2,0.0,28.7,3.2,8.521000000000015,58207,34774,19192,53966,34.9,50.4,20.3,28.429333333333314,5.4
3604103,2011,3604103 _ 2011,3712,244098,2.7,1.5207007021769898,1,0.4559,15.3,48.0,52.0,6.6,1.9,3.6,88.8,0.3,0.6,3.4,2.75,44.0,1315,49.6,540600,54625,10.6,53.1,16.5,40.5,0.5,47.7,0.0,6.2,2.4,9.376666666666663,93792,45505,42087,87592,44.0,41.2,32.9,18.119666666666664,6.0
3604104,2011,3604104 _ 2011,1405,118016,2.1,1.1905165401301498,1,0.418,19.1,70.4,29.6,5.1,1.2,4.5,90.9,0.3,0.5,0.6,2.67,40.5,1451,42.1,578600,76113,6.0,58.8,11.2,55.9,0.3,36.3,0.0,3.6,1.9,8.87066666666666,46168,12975,30846,43821,58.1,26.1,43.5,10.385333333333344,4.5
3604105,2011,3604105 _ 2011,63528,200371,58.6,31.705186878340697,5,0.369,20.0,74.5,25.5,6.6,1.9,4.8,90.4,0.6,0.9,1.0,3.23,44.6,1356,40.0,437900,77840,5.0,72.9,10.6,18.5,0.3,15.4,0.1,3.7,3.5,9.671333333333331,65549,15591,45619,61210,56.3,11.9,30.2,10.670666666666687,5.6
3604106,2011,3604106 _ 2011,11687,150009,13.4,7.7908658813804506,3,0.4506,21.0,46.9,53.1,5.7,2.2,3.1,89.4,2.8,5.1,2.5,2.69,43.2,1215,42.4,507100,57121,10.2,60.0,17.6,40.9,0.3,32.4,0.1,9.6,3.3,9.581000000000016,57798,28948,25570,54518,51.2,25.3,41.1,12.367666666666635,6.2
3604107,2011,3604107 _ 2011,6286,138150,7.9,4.550126673905179,2,0.4333,11.0,24.5,75.5,6.3,3.3,2.0,90.1,0.6,1.3,8.1,3.16,59.7,1256,50.4,498900,44428,17.2,57.3,50.8,42.4,0.3,33.2,0.3,14.2,1.8,8.717666666666634,46483,32867,10693,43560,31.5,54.9,20.8,24.96699999999996,4.6
3604108,2011,3604108 _ 2011,1498,111965,2.7,1.3379180994060602,1,0.4535,12.1,46.2,53.8,6.1,1.8,2.5,89.9,0.6,0.6,1.7,2.17,26.0,1345,44.3,352800,65930,6.2,56.5,13.0,62.4,0.4,26.9,0.1,5.1,2.5,10.796999999999999,54610,27564,23702,51266,46.9,26.9,54.0,9.807666666666659,4.8
3604109,2011,3604109 _ 2011,1375,130007,2.0,1.0576353580961,1,0.4293,16.5,25.8,74.2,7.2,2.6,2.3,88.9,0.6,1.2,5.2,2.56,41.6,1284,42.1,455700,54783,8.9,56.6,33.2,49.6,0.2,36.2,0.1,9.7,2.2,7.785999999999998,54058,37244,12927,50171,39.8,41.4,33.2,22.394666666666602,4.5
3604110,2011,3604110 _ 2011,1390,169515,1.7,0.819986431879185,1,0.4286,17.9,41.6,58.4,7.4,0.6,3.9,90.7,1.2,1.5,1.7,2.76,50.0,1212,43.9,555800,54641,11.4,56.6,35.5,81.1,0.3,7.3,0.0,8.2,1.5,8.016666666666664,66119,35794,25456,61250,59.0,24.4,21.8,16.251333333333342,4.6
