zip,month,year,price_index
10004,Feb,2021,$979K
10004,Jul,2021,$992K
10004,Oct,2021,$1.01M
10004,Dec,2021,$1.02M
10004,Dec,2020,$974K
10004,Oct,2019,$963K
10004,Mar,2018,$1.12M
10004,Feb,2017,$1.04M
10004,Sep,2014,$986K
10004,Sep,2012,$792K
10004,Feb,2012,$777K
10004,Jan,2015,$1.02M
10004,May,2017,$1.08M
10004,Dec,2017,$1.11M
10004,Aug,2019,$1.02M
10004,Jun,2020,$967K
10004,Mar,2020,$972K
10004,Aug,2018,$1.13M
10004,Nov,2014,$1.00M
10004,Jun,2014,$960K
10004,Jul,2011,$779K
10004,Jun,2011,$785K
10004,Apr,2011,$782K
10004,Jan,2013,$800K
10004,Sep,2019,$980K
10004,Oct,2020,$975K
10004,Apr,2021,$984K
10004,May,2021,$987K
10004,Sep,2021,$1.00M
10004,Aug,2020,$965K
10004,Jun,2018,$1.10M
10004,Mar,2017,$1.05M
10004,Apr,2014,$932K
10004,Aug,2013,$853K
10004,Oct,2012,$796K
10004,Aug,2014,$979K
10004,Aug,2017,$1.10M
10004,Jan,2021,$979K
10004,Dec,2019,$972K
10004,May,2014,$946K
10004,Jan,2014,$892K
10004,Apr,2017,$1.06M
10004,Feb,2020,$970K
10004,Aug,2021,$996K
10004,Jul,2014,$971K
10004,Jun,2012,$781K
10004,Feb,2016,$1.06M
10004,May,2020,$977K
10004,Jun,2016,$1.03M
10004,Dec,2013,$882K
10004,Sep,2013,$863K
10004,Mar,2013,$816K
10004,Jan,2012,$780K
10004,Mar,2016,$1.04M
10004,Nov,2016,$1.02M
10004,Jun,2017,$1.09M
10004,Sep,2018,$1.16M
10004,Mar,2021,$981K
10004,Mar,2019,$1.07M
10004,Jan,2019,$1.11M
10004,Sep,2017,$1.10M
10004,Nov,2015,$1.07M
10004,Apr,2015,$1.03M
10004,Jan,2018,$1.12M
10004,Jan,2020,$974K
10004,May,2018,$1.10M
10004,Apr,2016,$1.04M
10004,Oct,2011,$778K
10004,Jan,2017,$1.03M
10004,Oct,2015,$1.06M
10004,Aug,2011,$775K
10004,Jul,2016,$1.03M
10004,Jul,2020,$961K
10005,Jan,2022,$1.17M
10005,Jun,2021,$1.13M
10005,Apr,2019,$1.21M
10005,Jun,2018,$1.27M
10005,Apr,2018,$1.29M
10005,Feb,2018,$1.29M
10005,Aug,2017,$1.29M
10005,May,2015,$1.20M
10005,Nov,2013,$1.04M
10005,Feb,2013,$972K
10005,Sep,2012,$955K
10005,Sep,2011,$953K
10005,Jun,2011,$954K
10005,Mar,2011,$947K
10005,Nov,2012,$960K
10005,Mar,2016,$1.28M
10005,Mar,2020,$1.14M
10005,Mar,2021,$1.12M
10005,Dec,2021,$1.16M
10005,Aug,2018,$1.26M
10005,Feb,2015,$1.19M
10005,Jan,2013,$966K
10005,Oct,2011,$954K
10005,Mar,2015,$1.20M
10005,Mar,2019,$1.22M
10005,Dec,2020,$1.12M
10005,Nov,2021,$1.16M
10005,Nov,2011,$960K
10005,Aug,2016,$1.30M
10005,Feb,2019,$1.22M
10005,Dec,2016,$1.30M
10005,May,2014,$1.10M
10005,Feb,2020,$1.15M
10005,Dec,2017,$1.28M
10005,Jul,2012,$951K
10005,May,2020,$1.13M
10005,Nov,2019,$1.16M
10005,Jun,2014,$1.12M
10005,Oct,2012,$960K
10005,Oct,2018,$1.26M
10005,Oct,2020,$1.12M
10005,Jan,2020,$1.15M
10005,Jan,2017,$1.30M
10005,Jan,2015,$1.18M
10005,May,2018,$1.28M
10005,Sep,2018,$1.26M
10005,Feb,2012,$957K
10005,Jul,2016,$1.30M
10005,Sep,2015,$1.23M
10005,Feb,2017,$1.30M
10005,Jun,2019,$1.20M
10005,Aug,2013,$1.02M
10005,Apr,2013,$985K
10005,May,2021,$1.13M
10005,Mar,2017,$1.29M
10005,Mar,2013,$979K
10005,Nov,2014,$1.17M
10005,May,2013,$993K
10005,Feb,2016,$1.27M
10005,Oct,2019,$1.17M
10005,Oct,2016,$1.30M
10005,Aug,2015,$1.22M
10005,Nov,2018,$1.25M
10005,Jul,2020,$1.13M
10005,Jan,2021,$1.12M
10005,Jun,2017,$1.29M
10005,Sep,2020,$1.12M
10005,Jul,2014,$1.13M
10005,Mar,2012,$952K
10005,Apr,2012,$948K
10005,Mar,2018,$1.29M
10005,Sep,2019,$1.18M
10005,Aug,2019,$1.19M
10005,Sep,2013,$1.03M
10005,Apr,2011,$950K
10005,Jun,2013,$1.00M
10005,Feb,2014,$1.07M
10005,Jul,2021,$1.14M
10005,May,2016,$1.30M
10005,Jan,2018,$1.28M
10005,May,2012,$946K
10005,Jun,2012,$948K
10005,Feb,2021,$1.12M
10005,Dec,2015,$1.25M
10005,Dec,2014,$1.18M
10005,Nov,2016,$1.30M
10005,Aug,2021,$1.14M
10005,Dec,2012,$963K
10005,Aug,2012,$954K
10005,Aug,2014,$1.14M
10005,Nov,2015,$1.25M
10005,Jul,2011,$950K
10005,Apr,2021,$1.13M
10005,May,2019,$1.21M
10005,Apr,2015,$1.20M
10005,Jan,2012,$962K
10005,Jul,2018,$1.26M
10005,Oct,2017,$1.28M
10005,Oct,2021,$1.15M
10005,Aug,2020,$1.13M
10005,Aug,2011,$949K
10005,Jan,2014,$1.06M
10005,Oct,2013,$1.03M
10005,Jan,2016,$1.26M
10005,Apr,2016,$1.29M
10005,Oct,2015,$1.23M
10005,Nov,2017,$1.28M
10005,Jul,2013,$1.01M
10005,Oct,2014,$1.16M
10005,Sep,2016,$1.30M
10005,Jun,2020,$1.13M
10005,Sep,2014,$1.15M
10005,Dec,2011,$961K
10005,Jun,2015,$1.21M
10005,Mar,2014,$1.08M
10005,Nov,2020,$1.12M
10005,Dec,2013,$1.05M
10006,Jan,2022,$831K
10006,Jun,2021,$805K
10006,May,2021,$803K
10006,Jul,2021,$808K
10006,Sep,2021,$817K
10006,Nov,2021,$825K
10006,Dec,2021,$828K
10006,May,2020,$779K
10006,Jun,2019,$820K
10006,Jul,2018,$876K
10006,Aug,2017,$890K
10006,Sep,2015,$885K
10006,Dec,2014,$840K
10006,May,2014,$788K
10006,Jun,2013,$736K
10006,Mar,2013,$723K
10006,Dec,2012,$706K
10006,Jul,2012,$684K
10006,Jun,2012,$682K
10006,May,2012,$679K
10006,Apr,2012,$673K
10006,Mar,2012,$677K
10006,Jan,2012,$686K
10006,Oct,2011,$661K
10006,Aug,2011,$649K
10006,May,2011,$641K
10006,Mar,2011,$632K
10006,Aug,2012,$689K
10006,Apr,2014,$780K
10006,Nov,2014,$830K
10006,Apr,2015,$863K
10006,Oct,2015,$886K
10006,Aug,2016,$869K
10006,Nov,2016,$868K
10006,Mar,2017,$870K
10006,Jun,2017,$886K
10006,Feb,2018,$889K
10006,Oct,2018,$864K
10006,Apr,2019,$829K
10006,Oct,2019,$812K
10006,Jan,2020,$788K
10006,Apr,2020,$781K
10006,Jul,2020,$773K
10006,Feb,2021,$794K
10006,Mar,2020,$783K
10006,Feb,2019,$846K
10006,Apr,2018,$889K
10006,Dec,2017,$887K
10006,Feb,2017,$869K
10006,Jul,2016,$870K
10006,Dec,2015,$884K
10006,Aug,2015,$879K
10006,Sep,2013,$748K
10006,May,2013,$731K
10006,Jan,2013,$706K
10006,Nov,2011,$670K
10006,Sep,2011,$656K
10006,Jun,2011,$644K
10006,Dec,2011,$677K
10006,Oct,2016,$869K
10006,Jul,2017,$889K
10006,Mar,2018,$891K
10006,Sep,2018,$865K
10006,Jul,2019,$817K
10006,Dec,2019,$793K
10006,Feb,2020,$786K
10006,Jun,2020,$776K
10006,Nov,2020,$776K
10006,Jan,2021,$789K
10006,Oct,2021,$821K
10006,Aug,2020,$770K
10006,Dec,2018,$863K
10006,Jun,2018,$880K
10006,Feb,2015,$857K
10006,Jun,2014,$797K
10006,Nov,2013,$752K
10006,Sep,2012,$694K
10006,Feb,2012,$680K
10006,Jul,2011,$645K
10006,Sep,2014,$812K
10006,Jan,2015,$849K
10006,Jun,2015,$868K
10006,May,2016,$880K
10006,Sep,2016,$870K
10006,Dec,2016,$869K
10006,Jan,2018,$887K
10006,Jan,2019,$855K
10006,Sep,2020,$769K
10006,Mar,2021,$798K
10006,Aug,2021,$813K
10006,Apr,2021,$801K
10006,Sep,2019,$818K
10006,Nov,2018,$866K
10006,Oct,2017,$888K
10006,Feb,2016,$883K
10006,Jul,2014,$802K
10006,Jan,2014,$757K
10006,Jul,2013,$743K
10006,Feb,2013,$717K
10006,Nov,2012,$704K
10006,Apr,2011,$639K
10006,Mar,2016,$883K
10006,Sep,2017,$888K
10006,May,2019,$823K
10006,Oct,2020,$771K
10006,Aug,2019,$820K
10006,Aug,2018,$869K
10006,May,2018,$884K
10006,Nov,2017,$889K
10006,Apr,2017,$873K
10006,Jan,2017,$869K
10006,Jun,2016,$874K
10006,Nov,2015,$886K
10006,Jul,2015,$873K
10006,May,2015,$865K
10006,Mar,2015,$862K
10006,Oct,2014,$820K
10006,Aug,2014,$809K
10006,Mar,2014,$769K
10006,Dec,2013,$754K
10006,Aug,2013,$744K
10006,Apr,2013,$728K
10006,Oct,2012,$705K
10006,Feb,2014,$762K
10006,Jan,2016,$884K
10006,Apr,2016,$883K
10006,May,2017,$880K
10006,Mar,2019,$836K
10006,Nov,2019,$801K
10006,Dec,2020,$782K
10007,Jan,2022,$2.65M
10007,Dec,2021,$2.64M
10007,Nov,2021,$2.62M
10007,Oct,2021,$2.61M
10007,Sep,2021,$2.60M
10007,Aug,2021,$2.59M
10007,Jul,2021,$2.58M
10007,Jun,2021,$2.57M
10007,May,2021,$2.56M
10007,Apr,2021,$2.56M
10007,Mar,2021,$2.55M
10007,Feb,2021,$2.54M
10007,Jan,2021,$2.54M
10007,Dec,2020,$2.56M
10007,Nov,2020,$2.57M
10007,Oct,2020,$2.59M
10007,Sep,2020,$2.59M
10007,Aug,2020,$2.61M
10007,Jul,2020,$2.62M
10007,Jun,2020,$2.64M
10007,May,2020,$2.65M
10007,Apr,2020,$2.65M
10007,Mar,2020,$2.66M
